,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,clusters
time_interval,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,
Station Complex Name,,,,,,,,,,,,,
57 St (F),4939.857142857143,1153.142857142857,8727.857142857143,1201.142857142857,21124.0,7563.714285714286,2239.857142857143,4273.0,14175.57142857143,10524.0,8585.857142857143,8188.285714285715,low ridership
"57 St-7 Av (N,Q,R,W)",21933.428571428572,5138.285714285714,28588.714285714286,7301.714285714286,61473.71428571429,31447.85714285714,8624.714285714286,13532.142857142857,44811.857142857145,32190.285714285717,35576.42857142857,31828.0,low ridership
"59 St (N,R)",1971.857142857143,5894.285714285714,12854.57142857143,11051.714285714286,12690.0,9068.857142857143,5692.0,4362.857142857143,9565.142857142857,5513.0,18318.14285714286,8584.714285714286,low ridership
"59 St-Columbus Circle (A,B,C,D,1)",38687.28571428572,10834.57142857143,64650.857142857145,17723.0,120783.71428571429,60918.14285714286,17727.14285714286,24881.85714285714,91656.57142857143,57103.57142857143,74044.0,61553.0,high ridership
61 St-Woodside (7),3778.0,8465.857142857143,18595.85714285714,16409.714285714286,13744.857142857143,10256.57142857143,8415.285714285716,4112.571428571428,13460.285714285714,4298.285714285714,28003.0,11311.714285714286,low ridership
"63 Dr-Rego Park (M,R)",2387.0,5642.142857142857,15411.571428571428,12819.714285714286,11294.0,8797.285714285714,5220.571428571428,2601.0,11470.428571428572,3995.285714285714,23883.571428571428,8794.285714285714,low ridership
"65 St (M,R)",548.8571428571429,1902.5714285714287,3702.285714285714,3247.1428571428573,2627.8571428571427,2640.0,1992.7142857142858,951.5714285714286,2336.285714285714,651.1428571428571,5815.428571428572,2474.0,low ridership
66 St-Lincoln Center (1),12835.571428571428,1929.4285714285713,18987.428571428572,6459.0,31565.714285714286,15002.714285714284,4994.428571428572,6519.142857142857,22831.571428571428,14977.0,24561.0,15396.42857142857,low ridership
"67 Av (M,R)",1098.2857142857142,3285.0,8591.857142857143,8756.714285714286,5828.428571428572,4519.857142857143,3246.714285714286,1711.142857142857,5344.857142857143,2247.5714285714284,14204.857142857143,4384.0,low ridership
68 St-Hunter College (6),8982.857142857143,1312.0,26649.428571428572,5854.857142857143,47409.857142857145,10257.57142857143,3401.0,10430.142857142857,34843.28571428572,25975.714285714286,19431.714285714286,10494.857142857143,low ridership
