,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,clusters
time_interval,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,
Station Complex Name,,,,,,,,,,,,,
28 St (6),0.06,-0.06,-0.03,-0.1,0.16,-0.01,-0.04,0.02,0.06,0.1,-0.12,0.0,destination
"28 St (R,W)",0.08,-0.06,-0.05,-0.14,0.13,0.05,-0.03,-0.01,0.07,0.06,-0.12,0.05,destination
3 Av (L),0.14,-0.04,-0.1,-0.15,0.11,0.06,-0.02,-0.01,0.04,0.03,-0.07,0.06,destination
3 Av-138 St (6),0.0,0.01,-0.01,0.01,0.01,0.0,0.0,0.03,-0.01,0.02,-0.02,-0.01,residential
"3 Av-149 St (2,5)",0.0,0.01,0.02,-0.03,0.03,-0.01,-0.01,0.01,0.03,0.04,-0.04,-0.01,residential
"30 Av (N,W)",-0.01,-0.03,0.03,0.06,-0.02,-0.01,0.04,-0.01,-0.04,-0.04,0.06,0.0,residential
33 St (6),0.05,-0.07,-0.01,-0.1,0.16,-0.01,-0.04,0.01,0.07,0.1,-0.12,-0.01,destination
33 St-Rawson St (7),0.04,-0.07,0.06,-0.15,0.23,-0.1,-0.07,0.06,0.08,0.24,-0.19,-0.1,destination
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",0.07,-0.05,-0.05,-0.12,0.14,0.03,-0.05,-0.01,0.07,0.07,-0.09,0.03,destination
34 St-Hudson Yards (7),0.07,-0.06,-0.07,-0.14,0.25,-0.01,-0.06,0.04,0.09,0.13,-0.17,-0.01,destination
"34 St-Penn Station (1,2,3)",0.05,-0.02,-0.02,-0.01,0.02,0.01,-0.04,-0.01,0.03,0.02,0.02,0.01,destination
"34 St-Penn Station (A,C,E)",0.05,-0.04,-0.02,-0.05,0.06,0.03,-0.03,0.0,0.03,0.04,-0.03,0.01,destination
"36 Av (N,W)",0.0,-0.03,0.02,0.01,0.03,-0.01,0.02,-0.01,-0.01,0.01,0.01,0.0,residential
"36 St (D,N,R)",0.01,-0.03,-0.03,-0.06,0.11,0.02,-0.02,0.02,0.01,0.08,-0.09,0.02,destination
"36 St (M,R)",0.01,-0.05,0.0,-0.09,0.15,0.0,-0.02,0.02,0.05,0.12,-0.13,-0.02,destination
"39 Av-Dutch Kills (N,W)",0.0,-0.05,0.02,-0.04,0.07,0.03,0.02,0.02,-0.03,0.03,-0.07,0.05,residential
"4 Av (F,G)/9 St (R)",0.03,-0.06,-0.02,-0.03,0.07,0.03,-0.01,0.0,0.0,0.03,-0.03,0.03,destination
40 St-Lowery St (7),0.0,-0.03,0.04,0.02,0.01,-0.02,0.02,-0.01,-0.02,0.01,0.02,-0.01,residential
45 St (R),-0.01,0.01,-0.01,0.03,-0.02,0.01,0.02,0.0,-0.01,-0.01,0.01,0.01,residential
"46 St (M,R)",-0.01,-0.01,0.02,0.04,-0.03,0.01,0.03,-0.01,-0.03,-0.03,0.05,0.01,residential
46 St-Bliss St (7),0.0,-0.01,0.03,0.02,-0.01,-0.02,0.03,0.0,-0.02,-0.01,0.02,0.0,residential
